login_frequency_per_week,forum_posts_per_week,assignment_completion_rate,video_watch_percentage,average_quiz_score,forum_sentiment_score,dropout
11,5,0.54,62.4,73.3,0.25,1
1,8,0.79,28.4,76.6,0.41,1
12,0,0.55,56.8,65.0,0.28,1
7,5,0.61,16.7,75.1,0.14,1
1,8,0.23,64.5,31.6,0.73,0
3,7,0.85,56.5,60.1,0.81,1
0,5,0.43,76.6,49.5,0.26,1
4,2,0.14,66.8,39.0,0.77,1
8,7,0.66,59.5,37.0,0.39,1
0,8,0.22,72.1,72.2,0.51,0
8,0,0.1,23.0,66.7,0.86,1
10,8,0.86,63.6,47.8,0.75,0
7,5,0.46,25.5,63.0,0.81,1
5,5,0.75,93.3,64.5,0.14,1
6,3,0.29,16.2,43.7,0.07,1
2,0,0.79,48.7,75.6,0.89,1
13,9,0.11,72.6,84.7,0.39,0
0,7,0.36,51.2,85.4,0.29,1
4,1,0.98,18.3,72.2,0.72,1
13,0,0.79,59.8,65.8,0.84,0
11,1,0.5,67.7,34.3,0.86,1
11,0,0.34,73.3,50.1,0.32,0
1,0,0.87,43.6,36.5,0.85,0
13,8,0.54,60.7,97.5,0.04,1
4,0,0.76,50.6,39.5,0.05,0
7,3,0.75,70.5,40.6,0.62,0
10,9,0.02,62.5,92.3,0.06,0
8,5,0.13,57.3,96.1,0.32,1
1,6,0.66,32.5,83.6,0.67,1
11,1,0.16,10.2,30.4,0.34,1
2,5,0.26,25.7,30.1,0.18,0
2,6,0.95,20.5,56.5,0.28,0
0,9,0.56,50.4,40.0,0.46,1
7,9,0.75,65.1,31.3,0.48,0
5,1,0.56,29.2,62.5,0.78,0
11,1,0.55,94.5,96.0,0.75,0
12,9,0.09,10.6,52.7,0.46,1
7,6,0.34,79.5,76.3,0.85,1
10,0,0.28,66.3,75.7,0.11,1
8,7,0.39,43.6,47.6,0.26,0
4,2,0.8,14.5,75.5,0.83,0
13,5,0.37,66.5,44.9,0.38,0
11,8,0.45,44.7,38.5,0.98,0
13,5,0.4,94.3,79.1,0.47,1
2,8,0.09,58.8,37.9,0.79,0
4,6,0.44,94.6,99.8,0.4,0
4,8,0.2,29.8,42.8,0.42,1
4,1,0.19,75.3,71.6,0.38,1
2,7,0.09,65.6,58.8,0.72,0
10,7,0.36,76.5,38.8,0.55,1
13,1,0.76,29.3,31.9,0.94,1
9,3,0.28,69.8,73.6,0.25,1
13,6,0.31,54.8,86.5,0.1,0
3,3,0.64,76.9,88.9,0.39,1
8,3,0.2,39.4,63.8,0.62,0
12,5,0.9,90.1,84.4,0.86,0
9,9,0.52,17.6,77.1,0.35,1
8,5,0.45,82.6,80.7,0.65,0
1,9,0.56,87.5,64.5,0.35,0
7,2,0.17,83.6,74.3,0.62,1
7,8,0.61,56.1,86.4,0.88,0
6,9,0.36,49.5,57.9,0.23,0
7,1,0.9,99.7,86.4,0.4,1
13,5,0.17,30.6,71.4,0.99,0
2,6,0.51,59.2,41.6,0.87,1
12,8,0.6,70.4,31.7,0.56,1
5,2,0.03,73.1,55.4,0.52,1
0,9,0.36,28.4,68.3,0.28,1
6,2,0.73,68.9,88.8,0.52,0
0,6,0.82,83.7,38.9,0.85,1
8,3,0.31,14.5,86.0,0.69,0
0,7,0.8,92.0,90.4,0.29,0
0,6,0.97,12.7,40.5,0.2,1
6,4,0.86,42.0,89.6,0.27,1
1,6,0.12,11.4,99.4,0.17,0
13,2,0.74,16.9,80.9,0.1,0
4,1,0.32,92.0,84.9,0.42,1
7,5,0.99,41.9,99.6,0.11,0
7,1,0.49,48.2,72.4,0.17,1
2,2,0.12,29.4,51.6,0.55,0
6,5,0.73,63.7,88.6,0.16,1
2,4,0.32,63.5,73.0,0.06,0
5,7,1.0,43.5,70.7,0.32,0
5,8,0.98,40.0,47.8,0.22,0
2,2,0.66,89.6,82.9,0.52,0
6,9,0.13,44.5,35.7,0.1,1
2,2,0.69,54.4,94.7,0.75,1
